Date,week,Forward/Back,Position Specific,Name,dist_total,msr_total,hsr_total,percentVmax
2018-02-21,Wk 34,Backs,Scrum Half,04fa3,4493.75967,1175.65,111.20000000000002,0.8761842177317781
2018-02-23,Wk 34,Backs,Scrum Half,04fa3,4719.16319,1421.6200000000001,175.02,0.9024697442637315
2018-02-24,Wk 34,Backs,Scrum Half,04fa3,736.90271,110.48,0,0.48409178029680744
2018-02-25,Wk 34,Backs,Scrum Half,04fa3,3793.42206,999.66999,131.77999999999997,0.8827555993647666
2018-02-27,Wk 35,Backs,Scrum Half,04fa3,3728.6561199999996,945.2,153.7,0.8728985269152839
2018-02-28,Wk 35,Backs,Scrum Half,04fa3,6118.25364,1662.99999,84.67000000000002,0.7852801051421061
2018-03-04,Wk 35,Backs,Scrum Half,04fa3,4698.40014,1442.13998,99.78999999999999,0.9068506653523903
2018-03-13,Wk 37,Backs,Scrum Half,04fa3,3913.4513199999997,1129.78,69.9,0.7721373418761295
2018-03-15,Wk 37,Backs,Scrum Half,04fa3,5328.58896,1384.83,93.56,0.853184382016319
2018-03-16,Wk 37,Backs,Scrum Half,04fa3,3366.3257200000003,1048.2,197,0.88823175072559
2018-03-19,Wk 38,Backs,Scrum Half,04fa3,4454.55905,1312.43,204.72000000000003,0.9539455670554735
2018-03-20,Wk 38,Backs,Scrum Half,04fa3,4473.06474,1764.61,80.59,0.8181370133070478
2018-03-22,Wk 38,Backs,Scrum Half,04fa3,4515.70103,1296.35,60.59,0.781994414325612
2018-03-24,Wk 38,Backs,Scrum Half,04fa3,5549.77697,1688.07998,284.19,0.9276600405235201
2018-03-27,Wk 39,Backs,Scrum Half,04fa3,4357.22261,1158.5,36.88,0.7261376704452112
2018-03-29,Wk 39,Backs,Scrum Half,04fa3,6142.67574,1718.8500099999999,207.26999999999998,0.8488034609276601
2018-03-30,Wk 39,Backs,Scrum Half,04fa3,4828.194850000001,960.39001,9.4,0.7009473741854225
2018-04-02,Wk 40,Backs,Scrum Half,04fa3,3875.4389699999997,1384.81,5.359999999999999,0.69109030173594
2018-04-03,Wk 40,Backs,Scrum Half,04fa3,5403.20611,1615.3899999999999,188.3,0.8509939214719895
2018-04-05,Wk 40,Backs,Scrum Half,04fa3,5628.31226,1987.2699900000002,197.66,0.821422704123542
2018-04-07,Wk 40,Backs,Scrum Half,04fa3,5058.4148,1773.62999,75.51,0.8444225398390012
2018-04-10,Wk 41,Backs,Scrum Half,04fa3,3908.81435,1478.6299999999999,95.91,0.8323750068451892
2018-04-12,Wk 41,Backs,Scrum Half,04fa3,4244.10295,1002.71,28.63,0.7776134932369531
2018-04-14,Wk 41,Backs,Scrum Half,04fa3,2651.4229800000003,921.45,193.89999999999998,0.8159465527627184
2018-04-17,Wk 42,Backs,Scrum Half,04fa3,3455.3451999999997,968.22,150.48000000000002,0.8871365204534253
2018-04-19,Wk 42,Backs,Scrum Half,04fa3,5651.83884,1459.74,76.22,0.8739937571874488
2018-04-20,Wk 42,Backs,Scrum Half,04fa3,3395.50882,1050.54,79.77,0.8400416187503423
2018-04-23,Wk 43,Backs,Scrum Half,04fa3,3183.9337100000002,805.1800000000001,98.09,0.9703740211379442
2018-04-24,Wk 43,Backs,Scrum Half,04fa3,5601.605460000001,1157.65,65.39,0.9090411258967199
2018-04-26,Wk 43,Backs,Scrum Half,04fa3,4352.88907,1253.6099900000002,148.01,0.9090411258967199
2018-04-27,Wk 43,Backs,Scrum Half,04fa3,703.64587,96.94,0,0.5311866819998905
2018-04-28,Wk 43,Backs,Scrum Half,04fa3,1229.7655,499.82001,48.870000000000005,0.8509939214719895
2018-04-30,Wk 44,Backs,Scrum Half,04fa3,3902.81349,1052.37001,266.79,0.9364218827008379
2018-05-01,Wk 44,Backs,Scrum Half,04fa3,4057.90901,1223.3200000000002,220.19,0.8696128360987898
2018-05-03,Wk 44,Backs,Scrum Half,04fa3,3982.58946,1163.3899999999999,214,0.9999452384863919
2018-05-05,Wk 44,Backs,Scrum Half,04fa3,4124.12176,1142.54,116.74000000000001,0.8827555993647666
2017-09-04,Wk 10,Backs,Centre,101e1,5043.20509,1229.79,166.07999999999998,0.9031216361679226
2017-10-23,Wk 17,Backs,Centre,101e1,2707.09827,537.76,138.19,0.9601722282023682
2017-10-31,Wk 18,Backs,Centre,101e1,5225.29641,1184.23,65.52,0.7513455328310011
2017-11-02,Wk 18,Backs,Centre,101e1,2608.35687,402.97,77.85999999999999,0.7976318622174382
2017-11-03,Wk 18,Backs,Centre,101e1,1806.75863,358.23,143.98999999999998,0.923573735199139
2017-11-07,Wk 19,Backs,Centre,101e1,5309.42691,786,88.32000000000001,0.7739504843918192
2017-11-09,Wk 19,Backs,Centre,101e1,3348.7714,561.79,77.84,0.9515608180839613
2017-11-12,Wk 19,Backs,Centre,101e1,3139.42725,656.28999,109.59,0.8945102260495157
2017-12-17,Wk 24,Backs,Centre,101e1,7042.85694,1182.79001,368.42999999999995,0.9634015069967707
2017-12-29,Wk 26,Backs,Centre,101e1,5673.09458,1150.75,146.37,0.8008611410118408
2017-12-31,Wk 26,Backs,Centre,101e1,991.45144,217.75,0,0.6609257265877287
2018-01-29,Wk 31,Backs,Centre,101e1,3666.94952,1109.27,104.67,0.7944025834230356
2018-02-01,Wk 31,Backs,Centre,101e1,3139.95617,892.49,210.73000000000002,0.8622174381054898
2018-02-02,Wk 31,Backs,Centre,101e1,5787.3783,1268.6200099999999,144.84,0.8439181916038752
2018-02-12,Wk 33,Backs,Centre,101e1,3886.24463,938.0600000000001,53.059999999999995,0.8632938643702907
2018-02-13,Wk 33,Backs,Centre,101e1,5051.3010699999995,1015.49,157.45,0.7987082884822391
2018-02-15,Wk 33,Backs,Centre,101e1,4279.08118,882.54,94.08,0.8363832077502691
2018-02-16,Wk 33,Backs,Centre,101e1,2781.55713,987.01,516.12,0.9569429494079656
2018-04-02,Wk 40,Backs,Centre,101e1,6052.33898,1108.34001,447.78,0.9547900968783638
2018-04-05,Wk 40,Backs,Centre,101e1,4624.7129700000005,1035.6399999999999,141.04,0.8891280947255114
2018-04-06,Wk 40,Backs,Centre,101e1,3826.86054,789.17,60.88,0.776103336921421
2018-04-09,Wk 41,Backs,Centre,101e1,2785.31445,648.7399999999999,122.50999999999999,0.9171151776103337
2017-07-24,Wk 04,Forwards,Tighthead Prop,1202a,1240.35107,480.29999,8.22,0.7260200668896322
2017-07-27,Wk 04,Forwards,Tighthead Prop,1202a,1683.12708,598.54003,0,0.6224749163879598
2017-08-01,Wk 05,Forwards,Tighthead Prop,1202a,1453.68506,1021.1299899999999,0,0.6152508361204014
